# _tick,_time,step,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss
0,1584900530.096148,0,1.8169002532958984,nan,2.229301691055298,0.08787015080451965,-0.5002714991569519
1,1584900530.4626749,28,-4.3768134117126465,nan,-3.958287000656128,0.0748937577009201,-0.4934201240539551
2,1584900530.925184,56,-0.741157054901123,nan,-0.5342824459075928,0.27976515889167786,-0.48663973808288574
3,1584900531.295443,84,-0.6637282967567444,nan,-0.20470096170902252,0.03815314173698425,-0.4971804618835449
4,1584900531.6780381,112,1.344456434249878,nan,1.7716742753982544,0.0627417340874672,-0.48995956778526306
5,1584900532.042735,140,-7.7467803955078125,nan,-7.874573707580566,0.6203168034553528,-0.49252352118492126
6,1584900532.416876,168,-2.874882459640503,nan,-2.6457133293151855,0.21132633090019226,-0.44049549102783203
7,1584900532.779071,196,-2.2467684745788574,nan,-2.084197759628296,0.18330752849578857,-0.34587812423706055
8,1584900533.145149,224,-0.673830509185791,nan,-0.5318382978439331,0.10609699785709381,-0.24808920919895172
9,1584900533.518178,252,-1.0138282775878906,nan,-1.2944707870483398,0.5967128276824951,-0.3160703480243683
10,1584900533.898713,280,0.9082276821136475,nan,0.46563923358917236,0.802382230758667,-0.3597937822341919
11,1584900534.276309,308,-2.7087109088897705,nan,-3.2186667919158936,0.8274264335632324,-0.31747063994407654
12,1584900534.6828,336,0.37749844789505005,nan,-1.0157268047332764,1.6150002479553223,-0.22177498042583466
13,1584900535.087328,364,1.4164080619812012,nan,1.0191662311553955,0.7386062145233154,-0.341364324092865
14,1584900535.4973812,392,-6.442842960357666,nan,-6.829924583435059,0.7800303101539612,-0.39294853806495667
15,1584900535.9154718,420,11.010210990905762,nan,5.987252712249756,5.302031517028809,-0.2790726125240326
16,1584900536.3434932,448,-2.1971330642700195,nan,-3.200000047683716,1.3255070447921753,-0.32264015078544617
17,1584900536.780231,476,6.960155487060547,nan,4.771655082702637,2.3956427574157715,-0.2071424275636673
18,1584900537.2379751,504,5.923501491546631,nan,5.297299861907959,0.9835521578788757,-0.35735026001930237
19,1584900537.6382139,532,-1.3566818237304688,nan,-1.2783446311950684,0.29186683893203735,-0.3702040910720825
20,1584901222.849924,0,-3.7836732864379883,nan,-3.38386869430542,0.1002068966627121,-0.5000113844871521
21,1584901223.218241,28,-7.474162578582764,nan,-7.873318195343018,0.8880125880241394,-0.48885679244995117
22,1584901223.599542,56,-0.6026703119277954,nan,-0.3663088083267212,0.1673707216978073,-0.4037322402000427
23,1584901224.004961,84,-0.5069223642349243,nan,-0.2702369689941406,0.09992190450429916,-0.33660730719566345
24,1584901224.366004,112,0.29829323291778564,nan,0.11065462231636047,0.5812344551086426,-0.393595814704895
25,1584901224.71735,140,-1.7025500535964966,nan,-1.7688515186309814,0.4234124422073364,-0.35711100697517395
26,1584901225.1044118,168,-1.0863920450210571,nan,-1.2829781770706177,0.570792019367218,-0.3742058575153351
27,1584901225.460046,196,2.7264132499694824,nan,2.8574681282043457,0.234050452709198,-0.3651054799556732
28,1584901225.837072,224,-3.210853338241577,nan,-3.091114044189453,0.3364328145980835,-0.4561721980571747
29,1584901226.1970072,252,-0.41822099685668945,nan,-0.05422988533973694,0.08843233436346054,-0.45242345333099365
30,1584901226.54942,280,1.77875816822052,nan,2.0334572792053223,0.19943767786026,-0.4541366994380951
31,1584901226.9136178,308,-0.5868008136749268,nan,-0.7540240287780762,0.6352151036262512,-0.4679918885231018
32,1584901227.289665,336,-3.3493599891662598,nan,-3.1897711753845215,0.264950156211853,-0.4245390295982361
33,1584901227.6438642,364,0.19676870107650757,nan,0.4296884536743164,0.12745192646980286,-0.3603716492652893
34,1584901228.015081,392,1.498445749282837,nan,1.3985271453857422,0.49654126167297363,-0.39662259817123413
35,1584901228.41539,420,-0.3645666241645813,nan,-0.4550435543060303,0.5064466595649719,-0.41596972942352295
36,1584901228.795171,448,-1.0650779008865356,nan,-1.4406527280807495,0.8099297881126404,-0.4343549907207489
37,1584901229.1545238,476,-4.192854404449463,nan,-4.530411243438721,0.7907772660255432,-0.4532202184200287
38,1584901229.521128,504,3.7509782314300537,nan,3.7537477016448975,0.3884018361568451,-0.3911712169647217
39,1584901229.923826,532,-3.7736330032348633,nan,-4.26368522644043,0.909949779510498,-0.4198974370956421
40,1584901230.311677,560,-2.345181941986084,nan,-2.4659037590026855,0.418177992105484,-0.2974563241004944
41,1584901230.7045782,588,0.3565385341644287,nan,0.0013947784900665283,0.6425937414169312,-0.2874499559402466
42,1584901231.227778,616,-1.499061942100525,nan,-1.5230056047439575,0.42328453063964844,-0.39934083819389343
43,1584901231.7423701,644,2.121495008468628,nan,2.0492305755615234,0.4501733183860779,-0.377908855676651
44,1584901232.28296,672,1.136324405670166,nan,1.1619110107421875,0.38053515553474426,-0.40612179040908813
45,1584901232.807159,700,1.3283897638320923,nan,1.149695873260498,0.6041168570518494,-0.4254230260848999
46,1584901233.357111,728,0.6100738048553467,nan,0.7529070973396301,0.32927796244621277,-0.47211122512817383
47,1584901233.887709,756,0.9836612939834595,nan,0.8611289262771606,0.6024944186210632,-0.47996196150779724
48,1584901234.3848581,784,1.7302734851837158,nan,1.9969747066497803,0.19204744696617126,-0.45874857902526855
